Performer,url,WeekID,Week Position,Song,gender,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,month,day,year,artist,years_on_charts
Elton John,http://www.billboard.com/charts/hot-100/1997-10-11,10/11/97,1,Candle In The Wind 1997/Something About The Way You Look Tonight,male,Candle In The Wind 1997/Something About The Way You Look TonightElton John,1,,1,1,,,,,,,,,,,,,,,,,,,,10,11,1997,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1973-09-22,9/22/73,12,Saturday Night's Alright For Fighting,male,Saturday Night's Alright For FightingElton John,1,12.0,12,8,"['glam rock', 'mellow gold', 'piano rock']",4i6wwcBc3Qrqir83xBdbM6,,To Be Continued...,0.0,294800.0,42.0,0.491,0.981,0.0,-4.923,1.0,0.0438,0.0403,0.0661,0.0657,0.9620000000000001,152.226,4.0,9,22,1973,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1988-11-26,11/26/88,41,A Word In Spanish,male,A Word In SpanishElton John,1,20.0,19,11,"['glam rock', 'mellow gold', 'piano rock']",1EsN2D481Q3E8vz68nkNoA,,Reg Strikes Back,0.0,279106.0,33.0,0.512,0.6659999999999999,0.0,-10.915,1.0,0.0372,0.0879,0.0005480000000000001,0.192,0.524,79.77600000000001,4.0,11,26,1988,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1987-12-26,12/26/87,13,Candle In The Wind,male,Candle In The WindElton John,1,18.0,13,8,"['glam rock', 'mellow gold', 'piano rock']",5khtjkzX0pzH1cjDgM6K6H,,Goodbye Yellow Brick Road (Remastered / Deluxe Edition),0.0,228932.0,59.0,0.602,0.536,4.0,-9.74,1.0,0.0288,0.183,1.9e-05,0.0802,0.506,124.55799999999999,4.0,12,26,1987,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1995-04-29,4/29/95,14,Believe,male,BelieveElton John,1,16.0,14,8,"['glam rock', 'mellow gold', 'piano rock']",0hACDgEDhKuQlv2ZhVbAIt,,Made In England,0.0,294800.0,36.0,0.491,0.547,0.0,-9.264,0.0,0.0298,0.184,0.000113,0.13699999999999998,0.174,137.94799999999998,4.0,4,29,1995,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1972-06-24,6/24/72,14,Rocket Man,male,Rocket ManElton John,1,20.0,14,8,"['glam rock', 'mellow gold', 'piano rock']",3gdewACMIVMEWVbyb8O9sY,,Honky Chateau,0.0,281613.0,82.0,0.602,0.522,10.0,-9.031,1.0,0.0285,0.386,1.4400000000000001e-05,0.0941,0.36,136.637,4.0,6,24,1972,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1998-08-01,8/1/98,86,Recover Your Soul,male,Recover Your SoulElton John,1,96.0,55,16,"['glam rock', 'mellow gold', 'piano rock']",6FGfXPvZ8sMpq1xd75FHXp,,The Big Picture,0.0,318040.0,27.0,0.737,0.633,7.0,-9.418,1.0,0.0246,0.165,0.0162,0.171,0.5489999999999999,103.01799999999999,4.0,8,1,1998,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1990-08-11,8/11/90,90,Club At The End Of The Street,male,Club At The End Of The StreetElton John,1,69.0,28,16,"['glam rock', 'mellow gold', 'piano rock']",3spWfMlB39jSkstIslYnvG,,Sleeping With The Past (Remastered with bonus tracks),0.0,292173.0,39.0,0.65,0.755,2.0,-9.645,1.0,0.0281,8.120000000000001e-05,0.0145,0.326,0.782,124.844,4.0,8,11,1990,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1996-01-13,1/13/96,44,Blessed,male,BlessedElton John,1,38.0,34,11,"['glam rock', 'mellow gold', 'piano rock']",7cBikvmY2ZYM0eQlQGOwQu,,Made In England,0.0,300733.0,33.0,0.775,0.414,5.0,-11.901,1.0,0.031,0.16899999999999998,0.0038799999999999998,0.235,0.496,102.005,4.0,1,13,1996,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1984-06-09,6/9/84,49,Sad Songs (say So Much),male,Sad Songs (say So Much)Elton John,1,,49,1,"['glam rock', 'mellow gold', 'piano rock']",1fF2dvBsbTk2wrOEaR6f5B,,To Be Continued...,0.0,249226.0,53.0,0.741,0.885,0.0,-6.232,1.0,0.027999999999999997,0.156,0.000306,0.345,0.9229999999999999,107.255,4.0,6,9,1984,Elton John,29
Elton John,http://www.billboard.com/charts/hot-100/1975-07-05,7/5/75,51,Someone Saved My Life Tonight,male,Someone Saved My Life TonightElton John,1,,51,1,"['glam rock', 'mellow gold', 'piano rock']",0bLOiofyBB62YU2cNnONJG,,Captain Fantastic And The Brown Dirt Cowboy,0.0,404933.0,55.0,0.457,0.428,1.0,-9.796,1.0,0.0283,0.32899999999999996,2.21e-06,0.16899999999999998,0.151,129.98,4.0,7,5,1975,Elton John,29
